,Movie_Title,Year,ThreeWords
384,Gang Related,1997,"['cops', 'curtains', 'cynthia']"
385,Lost Highway,1997,"['beep', 'blood', 'camaro']"
386,JFK,1991,"['arrests', 'cia', 'firing']"
387,Sunshine Cleaning,2009,"['42', 'clerk', 'gorilla']"
388,I Spit on Your Grave,2010,"['creek', 'googly', 'isoyg']"
389,Even Cowgirls Get the Blues,1994,"['asleep', 'going', 'honey']"
390,The Bourne Identity,2002,"['attacks', 'attendants', 'carry']"
391,Someone To Watch Over Me,1987,"['camera', 'hand', 'listening']"
392,Frances,1982,"['actress', 'cop', 'cut']"
393,Ronin,1998,"['bullet', 'gun', 'gunmen']"
394,The Wrestler,2009,"['beat', 'brumberg', 'fuck']"
395,The Things My Father Never Taught Me,2012,"['better', 'florist', 'girls']"
396,Fright Night,2011,"['amy', 'breaking', 'dives']"
397,Color of Night,1994,"['babble', 'belong', 'buck']"
398,2012,20122009,"['anheuser', 'crawls', 'fantastic']"
399,Aladdin,2019,"['aladdin', 'duck', 'just']"
400,Drive,2011,"['41', '58', 'bernie']"
401,Lord of Illusions,1995,"['boxes', 'clive', 'die']"
402,Hellboy,2004,"['broom', 'church', 'furiously']"
403,American Gangster,2007,"['000', '20', '280']"
404,Little Athens,2006,"['apartment', 'cheater', 'dave']"
405,Wild Wild West,1999,"['178', '185', '99']"
406,Labyrinth,1986,"['breathtaking', 'goblin', 'mutt']"
407,Magnolia,1999,"['40s', 'angels', 'booth']"
408,Little Nicky,2000,"['angel', 'basketball', 'beefy']"
409,Prom Night,1980,"['74', 'ago', 'amplify']"
410,Twin Peaks,1990,"['238', 'clown', 'continued']"
411,Marty,1955,"['argue', 'boss', 'clara']"
412,Knocked Up,2007,"['alison', 'better', 'cake']"
413,Blade II,2002,"['blade', 'david', 'goyer']"
414,The Proposal,2009,"['alaska', 'brag', 'cup']"
415,Gamer,2009,"['curtains', 'everybody', 'fade']"
416,The Family Man,2019,"['arnie', 'chapter', 'clinton']"
417,War of the Worlds,2005,"['dead', 'feeding', 'ground']"
418,Drag Me to Hell,2009,"['bag', 'bank', 'cake']"
419,Broken Arrow,1996,"['50s', 'beat', 'black']"
420,Gone Baby Gone,2007,"['angie', 'helene', 'just']"
421,Jurassic Park,1993,"['amber', 'drips', 'ellie']"
422,Antitrust,2001,"['alice', 'comes', 'food']"
423,Burlesque,2010,"['ali', 'beads', 'belting']"
424,Shifty,2009,"['78', 'build', 'college']"
425,Ordinary People,1980,"['75', 'beth', 'cabbots']"
426,Tin Cup,1996,"['153', 'brutal', 'buckets']"
427,American Psycho,2000,"['bateman', 'dinner', 'horrified']"
428,Terminator 2 Judgement Day,21993,"['arcade', 'ballistic', 'big']"
429,Les Miserables,2012,"['armies', 'buckets', 'cart']"
430,Autumn in New York,2000,"['birthday', 'charlotte', 'cleveland']"
431,Death at a Funeral,2010,"['aaron', 'bed', 'better']"
432,The Prophecy,1995,"['ate', 'bus', 'coroner']"
433,G.I. Joe The Rise of Cobra,2009,"['clambers', 'drives', 'duke']"
434,The Change Up,2011,"['blowjob', 'chugging', 'classroom']"
435,TMNT,2007,"['busted', 'cam', 'costume']"
436,Life,1999,"['barrel', 'dance', 'eats']"
437,Swordfish,2001,"['bedroom', 'bomb', 'continued']"
438,The Book of Eli,2010,"['2048', 'hell', 'hides']"
439,Sunset Blvd.,1950,"['champagne', 'direct', 'glass']"
440,Psycho,1960,"['bates', 'bathroom', 'birds']"
441,Star Trek II The Wrath of Khan,1982,"['152', 'bat', 'born']"
442,Remember Me,2010,"['1978', '22', '46']"
443,Mr Deeds Goes to Town,1936,"['babe', 'catches', 'close']"
444,The Truman Show,1998,"['brushes', 'car', 'exit']"
445,Darkman,1990,"['10', '197a', '396']"
446,Mud,2013,"['creek', 'darts', 'dead']"
447,Pet Sematary II,1992,"['bare', 'deranged', 'draft']"
448,Bad Boys,1995,"['burnett', 'ducks', 'dumpsters']"
449,Titanic,1997,"['god', 'goes', 'jack']"
450,Body Heat,1981,"['converted', 'costanza', 'extracting']"
451,Thor,2011,"['4th', '66', 'asgard']"
452,A Dry White Season,1989,"['brothers', 'choice', 'grief']"
453,TRON Legacy,2010,"['body', 'boole', 'circuits']"
454,American Hustle,2013,"['30', 'conversation', 'irving']"
455,The Crow City of Angels,1996,"['ashe', 'cheers', 'crouches']"
456,The Sweet Hereafter,1997,"['bad', 'head', 'jeans']"
